Calls for Service and Prevention,Crime and NonCrime Demand,Alert Level,District,Area,No
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,2
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,4
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,3
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,4
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,7
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,5
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,7
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,4
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,7
Demand,Crime,2,Counties/Manukau,Counties Manukau Central Area,5
Demand,Crime,2,Counties/Manukau,Counties Manukau Central Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,2
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,4
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,4
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,2
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,2
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,3
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,7
Demand,Crime,2,Counties/Manukau,Counties Manukau Central Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau Central Area,4
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,5
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,5
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau Central Area,3
Demand,Crime,2,Counties/Manukau,Counties Manukau Central Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau Central Area,9
Demand,Crime,2,Counties/Manukau,Counties Manukau Central Area,51
Demand,Crime,2,Counties/Manukau,Counties Manukau Central Area,6
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,2
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,4
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,15
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,4
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,7
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,4
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,2
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,22
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,9
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,8
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,2
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,2
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,2
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,3
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,2
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,5
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,19
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,22
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,31
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,3
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,2
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,3
Demand,Crime,2,Counties/Manukau,Counties Manukau Central Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau Central Area,6
Demand,Crime,2,Counties/Manukau,Counties Manukau Central Area,18
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,2
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,6
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,18
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,6
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,22
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,12
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,4
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,2
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,2
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,17
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,17
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,19
Demand,Crime,2,Counties/Manukau,Counties Manukau Central Area,3
Demand,Crime,2,Counties/Manukau,Counties Manukau Central Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau Central Area,3
Demand,Crime,2,Counties/Manukau,Counties Manukau Central Area,2
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,2
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,3
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,2
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,2
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,2
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,2
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,2
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,2
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau Central Area,4
Demand,Crime,2,Counties/Manukau,Counties Manukau Central Area,50
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,2
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,13
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,30
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,5
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,34
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,19
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,2
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,4
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,2
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,3
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,17
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,22
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,33
Demand,Crime,2,Counties/Manukau,Counties Manukau Central Area,8
Demand,Crime,2,Counties/Manukau,Counties Manukau Central Area,24
Demand,Crime,2,Counties/Manukau,Counties Manukau Central Area,18
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,2
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,4
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,12
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,8
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,11
Demand,Crime,2,Counties/Manukau,Counties Manukau East Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,2
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,16
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,4
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,2
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,3
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,17
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,4
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau South Area,4
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,4
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,2
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,1
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,15
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,12
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,8
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,15
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,9
Demand,Crime,2,Counties/Manukau,Counties Manukau West Area,15
Demand,Crime,2,Eastern,Hawkes Bay Area,2
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,2
Demand,Crime,2,Eastern,Hawkes Bay Area,4
Demand,Crime,2,Eastern,Hawkes Bay Area,2
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,3
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,3
Demand,Crime,2,Eastern,Hawkes Bay Area,8
Demand,Crime,2,Eastern,Hawkes Bay Area,38
Demand,Crime,2,Eastern,Hawkes Bay Area,3
Demand,Crime,2,Eastern,Hawkes Bay Area,53
Demand,Crime,2,Eastern,Hawkes Bay Area,4
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,2
Demand,Crime,2,Eastern,Tairawhiti Area,39
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,2
Demand,Crime,2,Eastern,Tairawhiti Area,6
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,5
Demand,Crime,2,Eastern,Hawkes Bay Area,2
Demand,Crime,2,Eastern,Hawkes Bay Area,14
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,3
Demand,Crime,2,Eastern,Hawkes Bay Area,29
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,2
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,3
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,5
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,2
Demand,Crime,2,Eastern,Hawkes Bay Area,8
Demand,Crime,2,Eastern,Hawkes Bay Area,2
Demand,Crime,2,Eastern,Hawkes Bay Area,3
Demand,Crime,2,Eastern,Hawkes Bay Area,21
Demand,Crime,2,Eastern,Hawkes Bay Area,2
Demand,Crime,2,Eastern,Hawkes Bay Area,32
Demand,Crime,2,Eastern,Hawkes Bay Area,5
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,39
Demand,Crime,2,Eastern,Hawkes Bay Area,5
Demand,Crime,2,Eastern,Hawkes Bay Area,63
Demand,Crime,2,Eastern,Hawkes Bay Area,3
Demand,Crime,2,Eastern,Hawkes Bay Area,2
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,2
Demand,Crime,2,Eastern,Hawkes Bay Area,9
Demand,Crime,2,Eastern,Hawkes Bay Area,19
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,3
Demand,Crime,2,Eastern,Hawkes Bay Area,18
Demand,Crime,2,Eastern,Hawkes Bay Area,51
Demand,Crime,2,Eastern,Hawkes Bay Area,11
Demand,Crime,2,Eastern,Hawkes Bay Area,71
Demand,Crime,2,Eastern,Hawkes Bay Area,10
Demand,Crime,2,Eastern,Hawkes Bay Area,3
Demand,Crime,2,Eastern,Hawkes Bay Area,3
Demand,Crime,2,Eastern,Tairawhiti Area,8
Demand,Crime,2,Eastern,Tairawhiti Area,28
Demand,Crime,2,Eastern,Tairawhiti Area,3
Demand,Crime,2,Eastern,Tairawhiti Area,4
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,3
Demand,Crime,2,Eastern,Tairawhiti Area,18
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,20
Demand,Crime,2,Eastern,Tairawhiti Area,2
Demand,Crime,2,Eastern,Tairawhiti Area,12
Demand,Crime,2,Eastern,Tairawhiti Area,43
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,3
Demand,Crime,2,Eastern,Tairawhiti Area,2
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,2
Demand,Crime,2,Eastern,Hawkes Bay Area,2
Demand,Crime,2,Eastern,Hawkes Bay Area,3
Demand,Crime,2,Eastern,Hawkes Bay Area,4
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,3
Demand,Crime,2,Eastern,Hawkes Bay Area,3
Demand,Crime,2,Eastern,Hawkes Bay Area,5
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,2
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,2
Demand,Crime,2,Eastern,Tairawhiti Area,5
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,4
Demand,Crime,2,Eastern,Hawkes Bay Area,4
Demand,Crime,2,Eastern,Hawkes Bay Area,7
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,3
Demand,Crime,2,Eastern,Hawkes Bay Area,2
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,2
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,2
Demand,Crime,2,Eastern,Hawkes Bay Area,2
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,6
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,2
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,2
Demand,Crime,2,Eastern,Hawkes Bay Area,2
Demand,Crime,2,Eastern,Hawkes Bay Area,3
Demand,Crime,2,Eastern,Hawkes Bay Area,3
Demand,Crime,2,Eastern,Hawkes Bay Area,30
Demand,Crime,2,Eastern,Hawkes Bay Area,6
Demand,Crime,2,Eastern,Hawkes Bay Area,47
Demand,Crime,2,Eastern,Hawkes Bay Area,3
Demand,Crime,2,Eastern,Hawkes Bay Area,2
Demand,Crime,2,Eastern,Hawkes Bay Area,4
Demand,Crime,2,Eastern,Hawkes Bay Area,4
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,23
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,2
Demand,Crime,2,Eastern,Tairawhiti Area,7
Demand,Crime,2,Eastern,Tairawhiti Area,3
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,2
Demand,Crime,2,Eastern,Tairawhiti Area,2
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,2
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,3
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,4
Demand,Crime,2,Eastern,Hawkes Bay Area,10
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,24
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,6
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,8
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,2
Demand,Crime,2,Eastern,Hawkes Bay Area,2
Demand,Crime,2,Eastern,Hawkes Bay Area,3
Demand,Crime,2,Eastern,Hawkes Bay Area,3
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,3
Demand,Crime,2,Eastern,Hawkes Bay Area,3
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,2
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,4
Demand,Crime,2,Eastern,Hawkes Bay Area,9
Demand,Crime,2,Eastern,Hawkes Bay Area,3
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,2
Demand,Crime,2,Eastern,Hawkes Bay Area,9
Demand,Crime,2,Eastern,Hawkes Bay Area,35
Demand,Crime,2,Eastern,Hawkes Bay Area,10
Demand,Crime,2,Eastern,Hawkes Bay Area,42
Demand,Crime,2,Eastern,Hawkes Bay Area,9
Demand,Crime,2,Eastern,Hawkes Bay Area,2
Demand,Crime,2,Eastern,Hawkes Bay Area,2
Demand,Crime,2,Eastern,Tairawhiti Area,2
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,21
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,2
Demand,Crime,2,Eastern,Tairawhiti Area,4
Demand,Crime,2,Eastern,Hawkes Bay Area,4
Demand,Crime,2,Eastern,Hawkes Bay Area,4
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,8
Demand,Crime,2,Eastern,Hawkes Bay Area,23
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,18
Demand,Crime,2,Eastern,Hawkes Bay Area,3
Demand,Crime,2,Eastern,Hawkes Bay Area,3
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,10
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,8
Demand,Crime,2,Eastern,Hawkes Bay Area,2
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Hawkes Bay Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,18
Demand,Crime,2,Eastern,Tairawhiti Area,2
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Eastern,Tairawhiti Area,7
Demand,Crime,2,Eastern,Tairawhiti Area,12
Demand,Crime,2,Eastern,Tairawhiti Area,1
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Whangarei Area,2
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,2
Demand,Crime,2,Northland,Whangarei Area,4
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,6
Demand,Crime,2,Northland,Far North Area,15
Demand,Crime,2,Northland,Far North Area,8
Demand,Crime,2,Northland,Far North Area,5
Demand,Crime,2,Northland,Far North Area,2
Demand,Crime,2,Northland,Far North Area,3
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,2
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,2
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,3
Demand,Crime,2,Northland,Whangarei Area,4
Demand,Crime,2,Northland,Whangarei Area,2
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,54
Demand,Crime,2,Northland,Far North Area,2
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,8
Demand,Crime,2,Northland,Far North Area,2
Demand,Crime,2,Northland,Far North Area,2
Demand,Crime,2,Northland,Far North Area,2
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,23
Demand,Crime,2,Northland,Far North Area,15
Demand,Crime,2,Northland,Far North Area,6
Demand,Crime,2,Northland,Far North Area,5
Demand,Crime,2,Northland,Far North Area,9
Demand,Crime,2,Northland,Far North Area,2
Demand,Crime,2,Northland,Far North Area,5
Demand,Crime,2,Northland,Far North Area,4
Demand,Crime,2,Northland,Far North Area,2
Demand,Crime,2,Northland,Far North Area,5
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,2
Demand,Crime,2,Northland,Far North Area,4
Demand,Crime,2,Northland,Far North Area,3
Demand,Crime,2,Northland,Far North Area,2
Demand,Crime,2,Northland,Far North Area,4
Demand,Crime,2,Northland,Far North Area,3
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,2
Demand,Crime,2,Northland,Far North Area,2
Demand,Crime,2,Northland,Far North Area,10
Demand,Crime,2,Northland,Far North Area,12
Demand,Crime,2,Northland,Far North Area,16
Demand,Crime,2,Northland,Far North Area,12
Demand,Crime,2,Northland,Far North Area,4
Demand,Crime,2,Northland,Far North Area,4
Demand,Crime,2,Northland,Far North Area,4
Demand,Crime,2,Northland,Far North Area,5
Demand,Crime,2,Northland,Far North Area,3
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,2
Demand,Crime,2,Northland,Whangarei Area,3
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,2
Demand,Crime,2,Northland,Whangarei Area,6
Demand,Crime,2,Northland,Whangarei Area,3
Demand,Crime,2,Northland,Whangarei Area,21
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,4
Demand,Crime,2,Northland,Whangarei Area,4
Demand,Crime,2,Northland,Whangarei Area,2
Demand,Crime,2,Northland,Whangarei Area,5
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,2
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,48
Demand,Crime,2,Northland,Whangarei Area,3
Demand,Crime,2,Northland,Whangarei Area,42
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,3
Demand,Crime,2,Northland,Whangarei Area,6
Demand,Crime,2,Northland,Whangarei Area,9
Demand,Crime,2,Northland,Whangarei Area,5
Demand,Crime,2,Northland,Whangarei Area,7
Demand,Crime,2,Northland,Whangarei Area,6
Demand,Crime,2,Northland,Whangarei Area,11
Demand,Crime,2,Northland,Whangarei Area,7
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,3
