Location,Age,Gender,Ethnicity,Resolution,Offence,Year,Value,Flags
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2004,59,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",1999,640,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2000,929,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2004,176,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2003,595,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2002,311,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2001,180,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2000,195,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2004,1687,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2003,1873,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2002,1777,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2001,1737,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2000,1553,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2004,4391,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2003,5498,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2002,5015,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2001,4509,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2000,4190,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2004,1193,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2003,1413,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2002,1317,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2001,1438,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2000,1386,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2004,613,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2003,794,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2002,636,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2001,607,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2000,506,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2001,1073,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2002,1119,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2003,1160,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2004,1181,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",1999,75,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2000,121,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2001,96,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2002,139,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2003,219,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2004,109,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",1999,581,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2000,1139,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2001,1123,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2002,1548,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2003,1258,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2004,1297,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,1999,2808,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2000,3480,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2001,3659,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2002,3882,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2003,3883,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2004,3826,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",1999,1080,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2000,1293,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2001,952,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2002,1565,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2003,1327,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2004,1074,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,1999,1989,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2000,2747,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2001,2787,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2002,2531,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2003,2933,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2004,2661,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,1999,498,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2000,552,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2001,559,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2002,525,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2003,625,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2004,721,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,1999,1206,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2000,1821,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2001,1821,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2002,1879,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2003,2011,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2004,1724,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,1999,2879,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2000,3023,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2001,3230,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2002,3822,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2003,3530,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2004,3405,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",1999,910,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2000,1377,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2001,1461,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2002,1683,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2003,1950,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2004,1750,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,1999,88,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2000,162,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2001,171,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2002,175,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2003,113,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2004,59,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,1999,17600,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2000,19716,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2001,18271,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2002,18348,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2003,19168,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2004,17619,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,1999,10,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2000,10,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2001,7,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2002,21,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2003,26,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2004,13,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,1999,3223,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2000,3390,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2001,3198,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2002,3353,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2003,2946,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2004,3084,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,1999,86,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2000,137,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2001,107,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2002,150,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2003,150,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2004,174,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,1999,52,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2000,63,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2001,77,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2002,121,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2003,104,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2004,118,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",1999,709,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2000,803,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2001,790,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2002,839,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2003,925,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2004,825,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",1999,127,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2000,136,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2001,146,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2002,148,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2003,156,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2004,203,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",1999,1058,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2000,1971,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2001,1260,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2002,1135,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2003,1101,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2004,1029,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,1999,3255,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2000,3458,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2001,3462,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2002,3187,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2003,3851,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2004,3303,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",1999,867,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2000,831,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2001,856,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2002,942,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2003,628,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2004,580,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,1999,1689,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2000,1684,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2001,1664,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2002,1308,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2003,1321,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2004,1211,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,1999,531,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2000,474,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2001,581,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2002,618,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2003,720,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2004,685,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,1999,1496,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2000,1611,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2001,1512,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2002,1560,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2003,1689,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2004,1599,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,1999,2618,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2000,2722,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2001,2880,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2002,2927,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2003,2702,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2004,2314,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",1999,1677,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2000,2174,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2001,1463,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2002,1700,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2003,1762,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2004,2347,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,1999,202,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2000,252,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2001,268,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2002,339,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2003,1087,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2004,134,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,1999,15730,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,1999,8,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2000,6,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,1999,1635,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2000,1634,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,1999,117,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2000,100,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,1999,28,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2000,18,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",1999,360,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2000,517,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",1999,88,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2000,100,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",1999,1422,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2000,1528,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,1999,3229,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2000,3015,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",1999,957,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2000,878,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,1999,2040,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2000,1995,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,1999,434,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2000,389,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,1999,1344,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2000,1332,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,1999,2613,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2000,2247,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",1999,937,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2000,1067,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,1999,518,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2000,476,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2004,2967,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2005,3149,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2001,963,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2002,961,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2003,564,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2004,574,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2005,505,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2003,3109,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2002,3287,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2001,3175,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2005,1199,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2004,1130,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2003,1337,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2002,1385,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2001,1280,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2004,1811,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2003,1900,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2002,1641,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2001,1625,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2004,1,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2003,9,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2002,13,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2001,4,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2004,15040,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2003,15816,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2002,15424,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2001,15623,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2000,15302,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2001,2220,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2003,1126,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2004,1236,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2005,1340,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2001,648,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2002,698,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2003,343,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2004,141,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2005,118,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,1999,12,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,1999,1848,
